gene,log2fc,pval,padj,direction,cell_type,score
PTX3,-3.4615831,4.758766247022419e-08,3.563832005696645e-07,down,fibroblast,-3.4615831
ZFPM1,-3.4545012,4.514025396243254e-09,3.909720594006158e-08,down,fibroblast,-3.4545012
SERPINE1,-3.432735,1.6020379323998282e-12,2.119071261818488e-11,down,fibroblast,-3.432735
PPDPFL,-3.4325588,5.359765570896997e-07,3.4126532726988097e-06,down,fibroblast,-3.4325588
GPM6B,-3.2474737,9.977655792120386e-10,9.32603007624384e-09,down,fibroblast,-3.2474737
H2AC20,-2.7844613,2.715412402133559e-07,1.8259670164765782e-06,down,fibroblast,-2.7844613
MT1G,-2.7568913,5.023978211334124e-28,2.0270111084824965e-26,down,fibroblast,-2.7568913
PAPPA,-2.7333622,4.273164201535202e-26,1.5810707545680247e-24,down,fibroblast,-2.7333622
DNER,-2.707235,3.761602835059779e-05,0.00017287870156093284,down,fibroblast,-2.707235
CCDC144A,-2.7009726,4.3164740439029956e-05,0.00019492109166758802,down,fibroblast,-2.7009726
GASK1B,-2.6347032,5.431442347290932e-49,5.66351306576609e-47,down,fibroblast,-2.6347032
NRIP1,-2.5815182,7.744305381062834e-26,2.7882972154508294e-24,down,fibroblast,-2.5815182
PMEPA1,-2.575127,0.010111103955047154,0.024381965341451237,down,fibroblast,-2.575127
SERPINF2,-2.5058892,1.4798770353585827e-08,1.1822818623775184e-07,down,fibroblast,-2.5058892
MBNL3,-2.4468849,4.917288213819882e-08,3.6726425180241706e-07,down,fibroblast,-2.4468849
ODC1,-2.4220002,2.5367275421549855e-15,4.278862486546718e-14,down,fibroblast,-2.4220002
SLC7A8,-2.420947,8.641281754907379e-11,9.238462211737862e-10,down,fibroblast,-2.420947
ALYREF,-2.356915,8.43959552288929e-09,6.98572293332764e-08,down,fibroblast,-2.356915
CYP4B1,-2.304854,1.9514334281671913e-165,5.222686331584793e-162,down,fibroblast,-2.304854
ARHGEF19,-2.269977,0.0001495210762201755,0.0005948982760018777,down,fibroblast,-2.269977
DHX33,-2.2607293,3.3623429013297516e-05,0.0001563187675435818,down,fibroblast,-2.2607293
SESN3,-2.2542136,7.001962240528442e-16,1.2301696899169117e-14,down,fibroblast,-2.2542136
RGCC,-2.2513034,7.844562344407835e-07,4.878697990956662e-06,down,fibroblast,-2.2513034
RAMP2-AS1,-2.2490573,1.0767342983883595e-31,5.239454352581902e-30,down,fibroblast,-2.2490573
GOLGA8B,-2.1562014,1.0011561567881463e-05,5.149444447695084e-05,down,fibroblast,-2.1562014
SOCS6,-2.1449466,0.0018078215293802096,0.0055043606596108085,down,fibroblast,-2.1449466
TMEM59L,-2.1034753,0.00014059967524572632,0.0005635920082615759,down,fibroblast,-2.1034753
CMYA5,-2.0901818,4.4141241547778204e-20,1.0871473263408318e-18,down,fibroblast,-2.0901818
GXYLT2,-2.0879138,0.0003178881394409862,0.0011659770998500131,down,fibroblast,-2.0879138
