gene,log2fc,pval,padj,direction,cell_type
SENP8,2.1023948,0.002617253658322416,0.5378404590154124,up,CD4
CD63,0.29932222,0.0024978051263657803,0.5378404590154124,up,CD4
MT1E,1.7172469,0.0023833634074906505,0.5378404590154124,up,CD4
SNN,0.7722545,0.0023833634074906505,0.5378404590154124,up,CD4
ADAMTSL5,1.8453771,0.002327961154356198,0.5378404590154124,up,CD4
L1TD1,3.0338402,0.002273740624089909,0.5378404590154124,up,CD4
ISM1,1.4349422,0.003007612322757296,0.5378404590154124,up,CD4
SEC16A,0.7830689,0.003007612322757296,0.5378404590154124,up,CD4
ATP5F1D,0.12324142,0.0031490924906232803,0.5378404590154124,up,CD4
ATP6V0A1,1.375732,0.0017917481763747916,0.5378404590154124,up,CD4
ERP29,0.13309783,0.0031490924906232803,0.5378404590154124,up,CD4
INAFM2,1.7737273,0.0031490924906232803,0.5378404590154124,up,CD4
SUB1,0.16273433,0.0018798888868894795,0.5378404590154124,up,CD4
MVP,0.34799638,0.003007612322757296,0.5378404590154124,up,CD4
PRDX1,0.233608,0.002273740624089909,0.5378404590154124,up,CD4
LGALS14,2.8608656,0.002273740624089909,0.5378404590154124,up,CD4
DSEL,1.5803361,0.003077611114989816,0.5378404590154124,up,CD4
COX7A2L,0.17713168,0.0032966143905289805,0.5558176391005978,up,CD4
CPNE7,1.6487229,0.0035297243268221307,0.5652893316138319,up,CD4
CHN1,1.5873435,0.003610699099350762,0.5652893316138319,up,CD4
LGALS4,2.3132527,0.0035297243268221307,0.5652893316138319,up,CD4
VAMP8,0.18009561,0.003610699099350762,0.5652893316138319,up,CD4
TSHZ2,0.29264644,0.0037777376341062603,0.5710462945532349,up,CD4
SH3BP5,0.25690067,0.0037777376341062603,0.5710462945532349,up,CD4
HACD3,0.36311817,0.0037777376341062603,0.5710462945532349,up,CD4
LY96,0.5886795,0.003951769666137701,0.5710958558173287,up,CD4
SOD1,0.14267349,0.003951769666137701,0.5710958558173287,up,CD4
STAM,0.37152666,0.003951769666137701,0.5710958558173287,up,CD4
MAD2L1,0.62531555,0.00413305163432759,0.578231511096193,up,CD4
ANXA1,0.2620574,0.00413305163432759,0.578231511096193,up,CD4
CAMK1,2.3013318,0.004321847692057559,0.598280199981568,up,CD4
VBP1,0.22571325,0.004723078212411152,0.6089529565825399,up,CD4
APOBEC3H,1.7956358,0.004518429865563833,0.6089529565825399,up,CD4
SLC35D2,0.72241724,0.004518429865563833,0.6089529565825399,up,CD4
LHFPL5,4.455251,0.004723078212411152,0.6089529565825399,up,CD4
HINT1,0.1183308,0.004723078212411152,0.6089529565825399,up,CD4
CLU,1.3884456,0.004936080979927651,0.6182323901621766,up,CD4
MYL12B,0.12384484,0.004936080979927651,0.6182323901621766,up,CD4
GRIP1,1.6191604,0.005271900793741935,0.6479510966214972,up,CD4
RPL15,0.09193729,0.0053883446641190685,0.6501111988791731,up,CD4
EDC4,1.760909,0.0053883446641190685,0.6501111988791731,up,CD4
S100A6,0.2872465,0.005877696694121196,0.666358527796447,up,CD4
LARGE2,1.8141091,0.00575174100172891,0.666358527796447,up,CD4
RPA3,0.32715112,0.005877696694121196,0.666358527796447,up,CD4
GPM6B,0.5551554,0.005877696694121196,0.666358527796447,up,CD4
PCSK1N,1.1721392,0.006137092967015051,0.6782261311698734,up,CD4
ANG,2.618252,0.006137092967015051,0.6782261311698734,up,CD4
AIRE,1.6142045,0.006137092967015051,0.6782261311698734,up,CD4
